"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1980","1980","PC","Percentage","0","Units",,,10.244,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1981","1981","PC","Percentage","0","Units",,,10.116,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1982","1982","PC","Percentage","0","Units",,,11.09,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1983","1983","PC","Percentage","0","Units",,,11.591,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1984","1984","PC","Percentage","0","Units",,,11.97,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1985","1985","PC","Percentage","0","Units",,,12.062,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1986","1986","PC","Percentage","0","Units",,,11.897,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1987","1987","PC","Percentage","0","Units",,,12.151,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1988","1988","PC","Percentage","0","Units",,,11.446,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1989","1989","PC","Percentage","0","Units",,,11.584,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1990","1990","PC","Percentage","0","Units",,,13.118,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1991","1991","PC","Percentage","0","Units",,,14.28,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1992","1992","PC","Percentage","0","Units",,,15.257,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1993","1993","PC","Percentage","0","Units",,,15.516,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1994","1994","PC","Percentage","0","Units",,,15.242,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1995","1995","PC","Percentage","0","Units",,,16.88,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1996","1996","PC","Percentage","0","Units",,,16.998,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1997","1997","PC","Percentage","0","Units",,,16.765,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1998","1998","PC","Percentage","0","Units",,,17.588,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1999","1999","PC","Percentage","0","Units",,,17.225,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2000","2000","PC","Percentage","0","Units",,,18.21,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2001","2001","PC","Percentage","0","Units",,,17.509,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2002","2002","PC","Percentage","0","Units",,,17.314,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2003","2003","PC","Percentage","0","Units",,,17.498,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2004","2004","PC","Percentage","0","Units",,,17.197,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2005","2005","PC","Percentage","0","Units",,,16.66,,
"10","Public","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2006","2006","PC","Percentage","0","Units",,,15.699,,
