congress,congress_t1,year,stcd,state,dv,dvp,inc,pwin,inc_t,demqa,inc_t1,demqa_t1,po1,po2,party,pres_elec,fr,south,yearID
115,114,2016,101,Alabama,NA,31.75432134,0,0,-1,-1,-1,-1,5,2,-1,1,2,1,72
115,114,2016,102,Alabama,45.38475554,32.594535,0,0,-1,0,-1,-1,1,4,-1,1,0,1,72
115,114,2016,103,Alabama,32.97687932,33.77543581,0,0,-1,-1,-1,-1,0,0,-1,1,0,1,72
115,114,2016,104,Alabama,NA,NA,0,0,-1,-1,-1,-1,5,2,-1,1,0,1,72
115,114,2016,105,Alabama,33.20568661,NA,0,0,-1,0,-1,-1,1,0,-1,1,0,1,72
115,114,2016,106,Alabama,25.44176377,23.72752979,0,0,-1,-1,0,0,0,0,-1,1,1,1,72
115,114,2016,107,Alabama,NA,NA,1,1,1,1,1,1,5,2,1,1,0,1,72
115,114,2016,201,Alaska,41.71968419,44.56179373,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,301,Arizona,53.87818036,52.61136381,2,1,0,0,1,0,4,5,1,1,0,0,72
115,114,2016,302,Arizona,43.04150735,49.96328342,0,0,-1,0,1,1,1,4,-1,1,1,0,72
115,114,2016,303,Arizona,NA,55.75174607,1,1,1,1,1,1,5,2,1,1,0,0,72
115,114,2016,304,Arizona,28.5466478,26.93410596,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,305,Arizona,35.90483688,30.42186969,3,0,0,-1,-1,-1,3,6,-1,1,0,0,72
115,114,2016,306,Arizona,37.86970941,35.13835496,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,307,Arizona,75.25306927,NA,1,1,1,1,0,1,0,0,1,1,1,0,72
115,114,2016,308,Arizona,NA,NA,0,0,-1,-1,-1,-1,5,0,-1,1,0,0,72
115,114,2016,309,Arizona,60.94158361,56.6372643,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,401,Arkansas,NA,33.86096519,0,0,-1,-1,-1,0,0,0,-1,1,0,1,72
115,114,2016,402,Arkansas,38.68646615,45.6751269,0,0,-1,0,0,-1,1,0,-1,1,1,1,72
115,114,2016,403,Arkansas,NA,NA,0,0,-1,-1,-1,-1,5,0,-1,1,0,1,72
115,114,2016,404,Arkansas,NA,44.19561681,0,0,-1,-1,0,0,5,0,-1,1,1,1,72
115,114,2016,501,California,40.94689781,38.96992217,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,502,California,76.85009947,74.99126533,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,503,California,59.35143171,52.72461067,1,1,1,1,1,0,0,0,1,1,0,0,72
115,114,2016,504,California,37.28011442,NA,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,505,California,76.86851016,NA,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,506,California,75.4270155,72.689126,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,507,California,51.17137177,50.39626989,1,1,1,0,1,0,1,0,1,1,0,0,72
115,114,2016,508,California,37.74198094,32.35314661,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,509,California,57.35952273,52.37038382,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,510,California,48.29954259,43.85107991,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,511,California,72.05282201,67.2739348,1,1,1,1,0,1,0,0,1,1,1,0,72
115,114,2016,512,California,NA,83.25375525,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,513,California,90.78455482,88.47876659,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,514,California,80.86312651,76.69598916,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,515,California,73.76679532,69.80630353,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,516,California,58.03484246,50.7311993,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,517,California,NA,NA,1,1,1,1,1,1,5,0,1,1,0,0,72
115,114,2016,518,California,71.14500046,67.75432057,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,519,California,73.94443247,NA,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,520,California,70.75307575,NA,2,1,0,0,1,1,4,0,1,1,0,0,72
115,114,2016,521,California,43.26173645,42.16586669,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,522,California,32.43490548,27.96493228,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,523,California,30.82488907,25.1605828,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,524,California,53.41908666,51.92712054,2,1,0,1,1,1,2,0,1,1,0,0,72
115,114,2016,525,California,46.86993847,NA,0,0,-1,-1,0,0,0,0,-1,1,1,0,72
115,114,2016,526,California,60.37951246,51.33163358,1,1,1,1,1,0,0,0,1,1,0,0,72
115,114,2016,527,California,67.42036133,59.35726603,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,528,California,77.98667944,NA,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,529,California,NA,74.6131276,1,1,1,1,1,1,5,0,1,1,0,0,72
115,114,2016,530,California,72.63839153,65.63999909,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,531,California,56.06753853,51.73374489,1,1,1,1,0,1,0,0,1,1,1,0,72
115,114,2016,532,California,NA,59.65571168,1,1,1,1,1,1,5,4,1,1,0,0,72
115,114,2016,533,California,66.4398475,59.18724151,1,1,1,1,0,1,0,0,1,1,1,0,72
115,114,2016,534,California,NA,NA,1,1,1,1,1,1,5,0,1,1,0,0,72
115,114,2016,535,California,72.39091233,NA,1,1,1,1,1,NA,0,0,1,1,1,0,72
115,114,2016,536,California,62.05393415,54.18409262,1,1,1,0,1,0,1,4,1,1,0,0,72
115,114,2016,537,California,NA,84.28133545,1,1,1,1,1,1,5,0,1,1,0,0,72
115,114,2016,538,California,70.47829946,59.09017059,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,539,California,42.76957063,31.45505723,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,540,California,NA,NA,1,1,1,1,1,1,5,0,1,1,0,0,72
115,114,2016,541,California,64.95137414,56.64301916,1,1,1,1,1,0,0,0,1,1,0,0,72
115,114,2016,542,California,41.17788197,34.26228062,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,543,California,76.08420343,70.95680332,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,544,California,NA,NA,2,1,0,0,1,1,4,9,1,1,0,0,72
115,114,2016,545,California,41.44024833,34.87925256,0,0,-1,-1,0,-1,0,0,-1,1,1,0,72
115,114,2016,546,California,NA,59.69873372,2,1,0,0,1,1,4,9,1,1,0,0,72
115,114,2016,547,California,63.72144539,55.98946515,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,548,California,41.68026474,35.87802855,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,549,California,49.73867905,39.83094482,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,550,California,36.54873529,28.7999288,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,551,California,72.75415489,68.7895058,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,552,California,56.52568485,51.58687073,1,1,1,1,1,0,0,0,1,1,0,0,72
115,114,2016,553,California,67.0092539,58.8365621,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,601,Colorado,71.00893222,69.43435254,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,602,Colorado,60.48105892,56.74312391,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,603,Colorado,42.49494557,38.10688182,0,0,-1,0,-1,-1,1,4,-1,1,0,0,72
115,114,2016,604,Colorado,33.24853713,31.12308053,0,0,-1,-1,0,0,0,0,-1,1,0,0,72
115,114,2016,605,Colorado,33.12638489,40.20201252,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,72
115,114,2016,606,Colorado,45.56048614,45.30715097,0,0,-1,0,-1,-1,1,4,-1,1,0,0,72
115,114,2016,607,Colorado,58.09891107,55.07295378,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,701,Connecticut,65.50659355,63.34369719,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,702,Connecticut,65.26235518,63.69800577,1,1,1,0,1,1,1,4,1,1,0,0,72
115,114,2016,703,Connecticut,69.03716729,67.10246174,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,704,Connecticut,59.90112747,53.7397028,1,1,1,0,1,0,1,4,1,1,0,0,72
115,114,2016,705,Connecticut,58.0004077,53.80662125,1,1,1,1,1,1,0,0,1,1,0,0,72
115,114,2016,801,Delaware,57.54616797,61.71441162,2,1,0,0,1,1,4,0,1,1,0,0,72
115,114,2016,901,Florida,30.90014248,24.98205051,3,0,0,-1,-1,-1,3,6,-1,1,0,1,72
115,114,2016,908,Florida,34.02665882,34.1495052,0,0,-1,-1,-1,-1,0,0,-1,1,0,1,72
115,114,2016,919,Florida,34.10451276,33.65170832,3,0,0,0,-1,-1,0,0,-1,1,0,1,72
115,114,2016,1001,Georgia,NA,39.08645982,0,0,-1,-1,0,-1,5,2,-1,1,0,1,72
115,114,2016,1002,Georgia,61.22984843,59.15469613,1,1,1,1,1,1,0,0,1,1,0,1,72
115,114,2016,1003,Georgia,31.65340203,NA,3,0,0,-1,-1,-1,3,0,-1,1,0,1,72
115,114,2016,1004,Georgia,75.71945972,NA,1,1,1,1,1,1,0,0,1,1,0,1,72
115,114,2016,1005,Georgia,84.43914303,NA,1,1,1,1,1,1,0,0,1,1,0,1,72
115,114,2016,1006,Georgia,38.31751047,33.9594497,0,0,-1,-1,-1,-1,0,0,-1,1,0,1,72
115,114,2016,1007,Georgia,39.61831558,34.61297065,0,0,-1,-1,-1,-1,0,0,-1,1,0,1,72
115,114,2016,1008,Georgia,32.35708065,NA,0,0,-1,-1,-1,-1,0,0,-1,1,0,1,72
115,114,2016,1009,Georgia,NA,19.32536855,0,0,-1,-1,-1,-1,5,2,-1,1,0,1,72
115,114,2016,1010,Georgia,NA,33.47770765,0,0,-1,-1,0,0,5,2,-1,1,1,1,72
115,114,2016,1011,Georgia,32.59422612,NA,0,0,-1,-1,0,-1,0,0,-1,1,1,1,72
115,114,2016,1012,Georgia,38.3991472,45.24680183,0,0,-1,-1,1,1,0,0,-1,1,0,1,72
115,114,2016,1013,Georgia,NA,NA,1,1,1,1,1,1,5,2,1,1,0,1,72
115,114,2016,1014,Georgia,NA,NA,0,0,-1,-1,-1,-1,5,2,-1,1,0,1,72
115,114,2016,1101,Hawaii,75.98536904,51.92833789,2,1,0,1,0,0,2,8,1,1,0,0,72
115,114,2016,1102,Hawaii,81.15677668,80.85288089,1,1,1,1,1,1,0,0,1,1,0,0,72
