LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NOR,TRADEGOODSERV,IMP,AGRWTH,A,1995,5.587683786,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,1996,8.840043312,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,1997,12.61929215,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,1998,9.209847445,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,1999,-1.835335793,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2000,2.80518558,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2001,1.974620657,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2002,0.540039673,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2003,0.826769332,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2004,9.147725184,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2005,7.908886589,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2006,8.82662573,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2007,9.729034176,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2008,4.479367535,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2009,-10.23994723,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2010,7.98465503,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2011,3.9354106,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2012,2.934705677,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2013,5.04321297,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2014,2.179530144,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2015,1.882821248,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2016,1.932565295,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2017,1.840831212,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2018,1.390324531,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2019,5.336116759,
NOR,TRADEGOODSERV,IMP,AGRWTH,A,2020,-9.854724024,
