"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3444098251558,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.8546030742255,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4358304198771,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.749032810418,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.5617071402682,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",22.082173332428,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.7337236156046,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.1552596630846,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.857923623816,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",20.9480542227162,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.7207058936594,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.8393360556619,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.7070617638254,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.733121851861,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.7210488820314,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.4051316868337,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.6673910261196,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",21.2891913949774,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.3753685262765,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.5550374082505,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.550576819355,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2016",20.7201613801918,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2017",21.5161440003039,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2018",21.675186593329,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2019",20.2251510630871,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2020",17.7948768973942,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1995",34.7234607571822,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.8343950133252,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1997",37.8396074770871,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.5761282051164,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.9031024586734,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2000",42.0142216659345,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2001",42.9191092459869,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2002",41.6287818010806,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2003",41.8169676971425,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2004",43.9251307189084,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2005",45.4140534786122,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.2466423435202,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.172384639555,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2008",48.8248221152974,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2009",41.8548144134358,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2010",47.7576359096203,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2011",51.154117778086,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2012",51.1785012313079,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2013",50.625120789651,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2014",50.1169562048263,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2015",49.3382548303838,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2016",48.5756846289351,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2017",50.8876917912507,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2018",52.4614203877556,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2019",52.128791145464,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2020",48.6108163058355,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1995",56.2641961032662,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1996",58.0203848015116,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1997",60.902358975732,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1998",60.5347776108893,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1999",60.6069310248626,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2000",69.6827399089776,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2001",67.964880914325,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2002",65.2538517924041,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2003",63.679044325004,
