"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","AUD","Australian Dollar","0","Units",,,52969,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","AUD","Australian Dollar","0","Units",,,57438,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,58427,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,61171,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","AUD","Australian Dollar","0","Units",,,64923,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1995","1995","AUD","Australian Dollar","0","Units",,,21234,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2000","2000","AUD","Australian Dollar","0","Units",,,25479,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","AUD","Australian Dollar","0","Units",,,33003,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","AUD","Australian Dollar","0","Units",,,47284,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","AUD","Australian Dollar","0","Units",,,49607,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","AUD","Australian Dollar","0","Units",,,53696,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","PER","Persons","0","Units",,,22189022,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","PER","Persons","0","Units",,,22679342,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","PER","Persons","0","Units",,,23293506,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","PER","Persons","0","Units",,,24058573,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","PER","Persons","0","Units",,,24909343,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1995","1995","PER","Persons","0","Units",,,17608189,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2000","2000","PER","Persons","0","Units",,,18652175,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","PER","Persons","0","Units",,,19606630,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","PER","Persons","0","Units",,,20643129,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","PER","Persons","0","Units",,,21589428,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","PER","Persons","0","Units",,,22189022,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","NBR","Number","0","Units",,,8630428,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","NBR","Number","0","Units",,,8766425,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NBR","Number","0","Units",,,8962301,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NBR","Number","0","Units",,,9270426,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","NBR","Number","0","Units",,,9732443,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1995","1995","NBR","Number","0","Units",,,6546577,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2000","2000","NBR","Number","0","Units",,,7121222,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","NBR","Number","0","Units",,,7735778,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","NBR","Number","0","Units",,,8077302,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","NBR","Number","0","Units",,,8398520,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","NBR","Number","0","Units",,,8630428,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","EUR","Euro","0","Units",,,24315,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","EUR","Euro","0","Units",,,25489,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","EUR","Euro","0","Units",,,26457,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","EUR","Euro","0","Units",,,26777,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","EUR","Euro","0","Units",,,27303,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","EUR","Euro","0","Units",,,27206,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","EUR","Euro","0","Units",,,28851,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","EUR","Euro","0","Units",,,28660,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,28758,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,30517,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,30710,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","EUR","Euro","0","Units",,,31517,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","EUR","Euro","0","Units",,,32441,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","EUR","Euro","0","Units",,,33009,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","PER","Persons","0","Units",,,8241523,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","PER","Persons","0","Units",,,8262101,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","PER","Persons","0","Units",,,8283237,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","PER","Persons","0","Units",,,8315881,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","PER","Persons","0","Units",,,8344294,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","PER","Persons","0","Units",,,8368625,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","PER","Persons","0","Units",,,8403374,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","PER","Persons","0","Units",,,8476451,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","PER","Persons","0","Units",,,8590169,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","PER","Persons","0","Units",,,8640974,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","PER","Persons","0","Units",,,8652285,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","PER","Persons","0","Units",,,8706396,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","PER","Persons","0","Units",,,8757572,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","PER","Persons","0","Units",,,8796902,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","NBR","Number","0","Units",,,3566489,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","NBR","Number","0","Units",,,3598258,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","NBR","Number","0","Units",,,3624300,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","NBR","Number","0","Units",,,3650398,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","NBR","Number","0","Units",,,3674279,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","NBR","Number","0","Units",,,3701302,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","NBR","Number","0","Units",,,3761790,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","NBR","Number","0","Units",,,3809693,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","NBR","Number","0","Units",,,3862098,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NBR","Number","0","Units",,,3886560,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","NBR","Number","0","Units",,,3911448,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NBR","Number","0","Units",,,3943564,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","NBR","Number","0","Units",,,3990132,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","NBR","Number","0","Units",,,4013636,,
