"country","lorenz_50","year"
"Australia",NA,1980
"Austria",NA,1980
"Belgium",NA,1980
"Czech Republic",NA,1980
"Denmark",NA,1980
"Finland",NA,1980
"France",NA,1980
"Germany",21.82,1980
"Ireland",NA,1980
"Italy",NA,1980
"South Korea",NA,1980
"Luxembourg",NA,1980
"Mexico",NA,1980
"Netherlands",NA,1980
"Norway",24.63,1980
"Poland",NA,1980
"Russia",NA,1980
"Slovakia",NA,1980
"Spain",NA,1980
"Switzerland",24.2,1980
"United Kingdom",23.31,1980
"United States",20.31,1980
"Australia",NA,1981
"Austria",NA,1981
"Belgium",NA,1981
"Czech Republic",NA,1981
"Denmark",NA,1981
"Finland",NA,1981
"France",NA,1981
"Germany",21.67,1981
"Ireland",NA,1981
"Italy",NA,1981
"South Korea",NA,1981
"Luxembourg",NA,1981
"Mexico",NA,1981
"Netherlands",18.73,1981
"Norway",24.63,1981
"Poland",NA,1981
"Russia",NA,1981
"Slovakia",NA,1981
"Spain",NA,1981
"Switzerland",24.2,1981
"United Kingdom",21.56,1981
"United States",19.79,1981
"Australia",NA,1982
"Austria",NA,1982
"Belgium",NA,1982
"Czech Republic",NA,1982
"Denmark",NA,1982
"Finland",NA,1982
"France",NA,1982
"Germany",21.67,1982
"Ireland",NA,1982
"Italy",NA,1982
"South Korea",NA,1982
"Luxembourg",NA,1982
"Mexico",NA,1982
"Netherlands",18.73,1982
"Norway",NA,1982
"Poland",NA,1982
"Russia",NA,1982
"Slovakia",NA,1982
"Spain",NA,1982
"Switzerland",24.2,1982
"United Kingdom",19.92,1982
"United States",18.96,1982
"Australia",NA,1983
"Austria",NA,1983
"Belgium",NA,1983
"Czech Republic",NA,1983
"Denmark",NA,1983
"Finland",NA,1983
"France",NA,1983
"Germany",21.67,1983
"Ireland",NA,1983
"Italy",NA,1983
"South Korea",NA,1983
"Luxembourg",NA,1983
"Mexico",NA,1983
"Netherlands",18.73,1983
"Norway",NA,1983
"Poland",NA,1983
"Russia",NA,1983
"Slovakia",NA,1983
"Spain",NA,1983
"Switzerland",24.2,1983
"United Kingdom",19.92,1983
"United States",18.61,1983
"Australia",NA,1984
"Austria",NA,1984
"Belgium",NA,1984
"Czech Republic",NA,1984
"Denmark",NA,1984
"Finland",NA,1984
"France",NA,1984
"Germany",19.8,1984
"Ireland",NA,1984
"Italy",NA,1984
"South Korea",NA,1984
"Luxembourg",NA,1984
"Mexico",NA,1984
"Netherlands",18.73,1984
"Norway",25.47,1984
"Poland",NA,1984
"Russia",NA,1984
"Slovakia",NA,1984
"Spain",NA,1984
"Switzerland",24.2,1984
"United Kingdom",19.61,1984
"United States",19.06,1984
"Australia",NA,1985
"Austria",NA,1985
"Belgium",NA,1985
"Czech Republic",NA,1985
"Denmark",NA,1985
"Finland",27.31,1985
"France",NA,1985
"Germany",19.8,1985
"Ireland",14.91,1985
"Italy",NA,1985
"South Korea",NA,1985
"Luxembourg",NA,1985
"Mexico",NA,1985
"Netherlands",19.3,1985
"Norway",25.47,1985
"Poland",NA,1985
"Russia",NA,1985
"Slovakia",NA,1985
"Spain",NA,1985
"Switzerland",NA,1985
"United Kingdom",18.74,1985
"United States",18.96,1985
"Australia",NA,1986
"Austria",NA,1986
"Belgium",NA,1986
"Czech Republic",NA,1986
"Denmark",NA,1986
"Finland",27.31,1986
"France",NA,1986
"Germany",20.48,1986
"Ireland",14.91,1986
"Italy",NA,1986
"South Korea",NA,1986
"Luxembourg",NA,1986
"Mexico",NA,1986
"Netherlands",19.3,1986
"Norway",25.47,1986
"Poland",NA,1986
"Russia",NA,1986
"Slovakia",NA,1986
"Spain",NA,1986
"Switzerland",NA,1986
"United Kingdom",17.63,1986
"United States",18.81,1986
"Australia",20.18,1987
"Austria",NA,1987
"Belgium",NA,1987
"Czech Republic",NA,1987
"Denmark",NA,1987
"Finland",27.31,1987
"France",NA,1987
"Germany",20.18,1987
"Ireland",14.91,1987
"Italy",NA,1987
"South Korea",NA,1987
"Luxembourg",NA,1987
"Mexico",NA,1987
"Netherlands",19.3,1987
"Norway",25.47,1987
"Poland",NA,1987
"Russia",NA,1987
"Slovakia",NA,1987
"Spain",NA,1987
"Switzerland",NA,1987
"United Kingdom",17.63,1987
"United States",19.04,1987
"Australia",20.18,1988
"Austria",NA,1988
"Belgium",NA,1988
"Czech Republic",NA,1988
"Denmark",NA,1988
"Finland",27.31,1988
"France",NA,1988
"Germany",20.13,1988
"Ireland",14.91,1988
"Italy",NA,1988
"South Korea",NA,1988
"Luxembourg",NA,1988
"Mexico",NA,1988
"Netherlands",19.3,1988
"Norway",25.47,1988
"Poland",NA,1988
"Russia",NA,1988
"Slovakia",NA,1988
"Spain",NA,1988
"Switzerland",NA,1988
"United Kingdom",18.44,1988
"United States",18.99,1988
"Australia",20.18,1989
"Austria",NA,1989
"Belgium",NA,1989
"Czech Republic",NA,1989
"Denmark",NA,1989
"Finland",27.07,1989
"France",NA,1989
"Germany",20.3,1989
"Ireland",14.91,1989
"Italy",NA,1989
"South Korea",NA,1989
"Luxembourg",NA,1989
"Mexico",NA,1989
"Netherlands",21.71,1989
"Norway",24.08,1989
"Poland",NA,1989
"Russia",NA,1989
"Slovakia",NA,1989
"Spain",NA,1989
"Switzerland",NA,1989
"United Kingdom",18.72,1989
"United States",18.97,1989
"Australia",20.18,1990
"Austria",NA,1990
"Belgium",17.19,1990
"Czech Republic",NA,1990
"Denmark",NA,1990
"Finland",27.07,1990
"France",NA,1990
"Germany",20.59,1990
"Ireland",NA,1990
"Italy",NA,1990
"South Korea",NA,1990
"Luxembourg",NA,1990
"Mexico",NA,1990
"Netherlands",21.71,1990
"Norway",24.08,1990
"Poland",NA,1990
"Russia",NA,1990
"Slovakia",NA,1990
"Spain",NA,1990
"Switzerland",24.45,1990
"United Kingdom",18.08,1990
"United States",19.01,1990
"Australia",20.18,1991
"Austria",NA,1991
"Belgium",17.19,1991
"Czech Republic",NA,1991
"Denmark",NA,1991
"Finland",27.07,1991
"France",NA,1991
"Germany",20.59,1991
"Ireland",NA,1991
"Italy",NA,1991
"South Korea",NA,1991
"Luxembourg",NA,1991
"Mexico",NA,1991
"Netherlands",21.71,1991
"Norway",24.08,1991
"Poland",NA,1991
"Russia",NA,1991
"Slovakia",NA,1991
"Spain",NA,1991
"Switzerland",24.45,1991
"United Kingdom",18.08,1991
"United States",19.01,1991
"Australia",20.18,1992
"Austria",NA,1992
"Belgium",17.19,1992
"Czech Republic",NA,1992
"Denmark",NA,1992
"Finland",27.07,1992
"France",NA,1992
"Germany",19.52,1992
"Ireland",NA,1992
"Italy",NA,1992
"South Korea",NA,1992
"Luxembourg",NA,1992
"Mexico",NA,1992
"Netherlands",21.71,1992
"Norway",24.08,1992
"Poland",NA,1992
"Russia",NA,1992
"Slovakia",NA,1992
"Spain",NA,1992
"Switzerland",24.45,1992
"United Kingdom",17.57,1992
"United States",18.5,1992
"Australia",NA,1993
"Austria",NA,1993
"Belgium",17.19,1993
"Czech Republic",NA,1993
"Denmark",NA,1993
"Finland",27.07,1993
"France",NA,1993
"Germany",19.22,1993
"Ireland",NA,1993
"Italy",NA,1993
"South Korea",NA,1993
"Luxembourg",NA,1993
"Mexico",NA,1993
"Netherlands",20.24,1993
"Norway",24.08,1993
"Poland",NA,1993
"Russia",NA,1993
"Slovakia",NA,1993
"Spain",NA,1993
"Switzerland",24.45,1993
"United Kingdom",16.4,1993
"United States",18.02,1993
"Australia",17,1994
"Austria",NA,1994
"Belgium",17.19,1994
"Czech Republic",NA,1994
"Denmark",19.77,1994
"Finland",23.28,1994
"France",NA,1994
"Germany",18.26,1994
"Ireland",NA,1994
"Italy",NA,1994
"South Korea",NA,1994
"Luxembourg",NA,1994
"Mexico",NA,1994
"Netherlands",20.24,1994
"Norway",21.89,1994
"Poland",NA,1994
"Russia",NA,1994
"Slovakia",NA,1994
"Spain",NA,1994
"Switzerland",24.45,1994
"United Kingdom",14.43,1994
"United States",17.07,1994
"Australia",17,1995
"Austria",NA,1995
"Belgium",NA,1995
"Czech Republic",NA,1995
"Denmark",19.77,1995
"Finland",23.28,1995
"France",NA,1995
"Germany",17.92,1995
"Ireland",NA,1995
"Italy",NA,1995
"South Korea",NA,1995
"Luxembourg",NA,1995
"Mexico",NA,1995
"Netherlands",20.24,1995
"Norway",21.89,1995
"Poland",NA,1995
"Russia",NA,1995
"Slovakia",NA,1995
"Spain",NA,1995
"Switzerland",NA,1995
"United Kingdom",14.29,1995
"United States",17.48,1995
"Australia",17,1996
"Austria",NA,1996
"Belgium",NA,1996
"Czech Republic",NA,1996
"Denmark",19.77,1996
"Finland",23.28,1996
"France",NA,1996
"Germany",17.63,1996
"Ireland",NA,1996
"Italy",NA,1996
"South Korea",NA,1996
"Luxembourg",NA,1996
"Mexico",NA,1996
"Netherlands",NA,1996
"Norway",21.89,1996
"Poland",NA,1996
"Russia",NA,1996
"Slovakia",NA,1996
"Spain",NA,1996
"Switzerland",NA,1996
"United Kingdom",14.95,1996
"United States",17.42,1996
"Australia",17,1997
"Austria",NA,1997
"Belgium",NA,1997
"Czech Republic",NA,1997
"Denmark",19.77,1997
"Finland",23.28,1997
"France",NA,1997
"Germany",17.36,1997
"Ireland",NA,1997
"Italy",NA,1997
"South Korea",NA,1997
"Luxembourg",NA,1997
"Mexico",NA,1997
"Netherlands",24.18,1997
"Norway",21.89,1997
"Poland",NA,1997
"Russia",NA,1997
"Slovakia",NA,1997
"Spain",NA,1997
"Switzerland",NA,1997
"United Kingdom",15.64,1997
"United States",17.38,1997
"Australia",NA,1998
"Austria",NA,1998
"Belgium",NA,1998
"Czech Republic",NA,1998
"Denmark",20.79,1998
"Finland",22.11,1998
"France",NA,1998
