"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1995","1995","PC","Percentage","0","Units",,,19.037,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1997","1997","PC","Percentage","0","Units",,,19.494,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","1999","1999","PC","Percentage","0","Units",,,20.215,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2001","2001","PC","Percentage","0","Units",,,20.447,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2003","2003","PC","Percentage","0","Units",,,19.892,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2005","2005","PC","Percentage","0","Units",,,18.7,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2007","2007","PC","Percentage","0","Units",,,20.118,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2009","2009","PC","Percentage","0","Units",,,20.373,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,20.873,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,21.851,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,23.574,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,22.376,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,24.89,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","1995","1995","PC","Percentage","0","Units",,,24.913,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","1997","1997","PC","Percentage","0","Units",,,23.767,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","1999","1999","PC","Percentage","0","Units",,,23.219,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","2001","2001","PC","Percentage","0","Units",,,22.705,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","SWE","Sweden","2003","2003","PC","Percentage","0","Units",,,23.599,,
