"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGELEVEL","LPAY","PC","A","1995",13.8290371671028,
"AUS","WAGELEVEL","LPAY","PC","A","1997",12.1775502145619,
"AUS","WAGELEVEL","LPAY","PC","A","1998",12.7617214281984,
"AUS","WAGELEVEL","LPAY","PC","A","1999",14.3537848280428,
"AUS","WAGELEVEL","LPAY","PC","A","2000",16.3548195076221,
"AUS","WAGELEVEL","LPAY","PC","A","2001",15.5377691303996,
"AUS","WAGELEVEL","LPAY","PC","A","2002",15.1283188803772,
"AUS","WAGELEVEL","LPAY","PC","A","2003",14.920193356645,
"AUS","WAGELEVEL","LPAY","PC","A","2004",15.4543009896955,
"AUS","WAGELEVEL","LPAY","PC","A","2005",15.8155971338919,
"AUS","WAGELEVEL","LPAY","PC","A","2006",15.1551832124049,
"AUS","WAGELEVEL","LPAY","PC","A","2007",15.9726494362297,
"AUS","WAGELEVEL","LPAY","PC","A","2008",17.5107095317818,
"AUS","WAGELEVEL","LPAY","PC","A","2009",14.5199094102225,
"AUS","WAGELEVEL","LPAY","PC","A","2010",15.9802656198485,
"AUS","WAGELEVEL","LPAY","PC","A","2011",16.8549551513812,
"AUS","WAGELEVEL","LPAY","PC","A","2012",17.5887595810257,
"AUS","WAGELEVEL","LPAY","PC","A","2013",15.8805478699985,
"AUS","WAGELEVEL","LPAY","PC","A","2014",14.7529983912524,
"AUS","WAGELEVEL","LPAY","PC","A","2015",15.4360905221714,
"AUS","WAGELEVEL","LPAY","PC","A","2016",15.632662037025,
"AUS","WAGELEVEL","LPAY","PC","A","2017",15.0616443644929,
"AUS","WAGELEVEL","LPAY","PC","A","2018",15.4324258284697,
"AUS","WAGELEVEL","LPAY","PC","A","2019",15.4576924077978,
"AUT","WAGELEVEL","LPAY","PC","A","2004",15.1530881469905,
"AUT","WAGELEVEL","LPAY","PC","A","2005",15.2759616418695,
"AUT","WAGELEVEL","LPAY","PC","A","2006",15.789915057348,
"AUT","WAGELEVEL","LPAY","PC","A","2007",16.1934824786558,
"AUT","WAGELEVEL","LPAY","PC","A","2008",15.8655557860972,
"AUT","WAGELEVEL","LPAY","PC","A","2009",16.0218084986964,
"AUT","WAGELEVEL","LPAY","PC","A","2010",16.4701128031366,
"AUT","WAGELEVEL","LPAY","PC","A","2011",16.0763005791486,
"AUT","WAGELEVEL","LPAY","PC","A","2012",16.0727266833728,
"AUT","WAGELEVEL","LPAY","PC","A","2013",15.8536380532999,
"AUT","WAGELEVEL","LPAY","PC","A","2014",15.8869886861039,
"AUT","WAGELEVEL","LPAY","PC","A","2015",15.8611061647495,
"AUT","WAGELEVEL","LPAY","PC","A","2016",15.4306909837204,
"AUT","WAGELEVEL","LPAY","PC","A","2017",15.1370649130179,
"AUT","WAGELEVEL","LPAY","PC","A","2018",14.9266828183379,
"AUT","WAGELEVEL","LPAY","PC","A","2019",14.7446410862766,
"AUT","WAGELEVEL","LPAY","PC","A","2020",14.6743424195433,
"BEL","WAGELEVEL","LPAY","PC","A","2004",6.29874025194961,
"BEL","WAGELEVEL","LPAY","PC","A","2005",6.6993300669933,
"BEL","WAGELEVEL","LPAY","PC","A","2006",6.2993700629937,
"BEL","WAGELEVEL","LPAY","PC","A","2007",5.6005600560056,
"BEL","WAGELEVEL","LPAY","PC","A","2008",3.99988000359989,
"BEL","WAGELEVEL","LPAY","PC","A","2009",3.7,
"BEL","WAGELEVEL","LPAY","PC","A","2010",4.3,
"BEL","WAGELEVEL","LPAY","PC","A","2011",5.4,
"BEL","WAGELEVEL","LPAY","PC","A","2012",6,
"BEL","WAGELEVEL","LPAY","PC","A","2013",4.60013203955377,
"BEL","WAGELEVEL","LPAY","PC","A","2014",3.4,
"BEL","WAGELEVEL","LPAY","PC","A","2015",4.6,
"BEL","WAGELEVEL","LPAY","PC","A","2016",4.1,
"BEL","WAGELEVEL","LPAY","PC","A","2017",5.5,
"BEL","WAGELEVEL","LPAY","PC","A","2018",9.2,
"BEL","WAGELEVEL","LPAY","PC","A","2019",11.5,
"BEL","WAGELEVEL","LPAY","PC","A","2020",12,
"CAN","WAGELEVEL","LPAY","PC","A","1997",21.880982179649,
"CAN","WAGELEVEL","LPAY","PC","A","1998",21.177603252845,
"CAN","WAGELEVEL","LPAY","PC","A","1999",23.0643019142477,
"CAN","WAGELEVEL","LPAY","PC","A","2000",23.250933612223,
"CAN","WAGELEVEL","LPAY","PC","A","2001",22.0236714127944,
"CAN","WAGELEVEL","LPAY","PC","A","2002",22.382220241102,
"CAN","WAGELEVEL","LPAY","PC","A","2003",22.0068583129789,
"CAN","WAGELEVEL","LPAY","PC","A","2004",22.4001299715378,
"CAN","WAGELEVEL","LPAY","PC","A","2005",21.3412406984552,
"CAN","WAGELEVEL","LPAY","PC","A","2006",22.5012407222861,
"CAN","WAGELEVEL","LPAY","PC","A","2007",22.0087817062064,
"CAN","WAGELEVEL","LPAY","PC","A","2008",22.1184321748919,
"CAN","WAGELEVEL","LPAY","PC","A","2009",20.6307930173176,
"CAN","WAGELEVEL","LPAY","PC","A","2010",21.2076834099696,
"CAN","WAGELEVEL","LPAY","PC","A","2011",21.5951235887348,
"CAN","WAGELEVEL","LPAY","PC","A","2012",21.8497443195449,
"CAN","WAGELEVEL","LPAY","PC","A","2013",20.9601247133061,
"CAN","WAGELEVEL","LPAY","PC","A","2014",22.4454281498186,
"CAN","WAGELEVEL","LPAY","PC","A","2015",22.1803473660353,
"CAN","WAGELEVEL","LPAY","PC","A","2016",22.3428150427257,
"CAN","WAGELEVEL","LPAY","PC","A","2017",22.0107809846944,
